Date,Open,High,Low,Close,Volume
9/26/2024,20273.3,20116.48,20273.3,19966.99,1
9/25/2024,19922.28,19972.61,20043.43,19921.22,83318
9/24/2024,19917.56,19944.84,19984.47,19739.67,89451
9/23/2024,19848.71,19852.2,19892.78,19797.82,80504
9/20/2024,19816.29,19791.49,19845.7,19632.73,114619
9/19/2024,19798.71,19839.83,19951.79,19723.94,94702
9/18/2024,19478.51,19344.49,19643.51,19330.81,89530
9/17/2024,19539.75,19432.4,19596.34,19337.12,83609
9/16/2024,19412.79,19423.06,19446.07,19294.18,78522
9/13/2024,19396.1,19514.59,19556.8,19384.69,74568
9/12/2024,19236.42,19423.07,19456.41,19166.8,96238
9/11/2024,18866,19237.3,19266.39,18531.58,103519
9/10/2024,18722.15,18829.14,18845.74,18570.67,1
9/9/2024,18579.8,18660.78,18693.86,18469.4,82858
9/6/2024,18903.03,18421.31,18930.77,18400.97,105606
9/5/2024,18864.42,18930.33,19102.36,18806.83,86339
9/4/2024,18832.64,18921.4,19070.82,18808.76,95659
9/3/2024,19438.11,18958.74,19438.11,18869.8,110078
8/30/2024,19506.27,19574.64,19582.17,19326.62,89311
8/29/2024,19425.28,19325.45,19622.73,19281.65,95565
8/28/2024,19567.45,19350.78,19587.04,19221.48,88153
8/27/2024,19450.57,19581.52,19617.92,19369.53,74704
8/26/2024,19679.24,19516.44,19726.9,19437.34,85164
8/23/2024,19669.78,19720.87,19818.4,19526.63,82468
8/22/2024,19911.28,19491.84,19938.89,19459.86,87164
8/21/2024,19758.47,19824.84,19885.34,19690.64,71974
8/20/2024,19736.35,19719.82,19835.38,19652.18,83671
8/19/2024,19521.93,19766.49,19767.43,19445.1,80131
8/16/2024,19393.73,19508.52,19561.24,19376.72,82038
8/15/2024,19251.86,19490.15,19502.92,19239.94,97524
8/14/2024,19043.76,19022.68,19103,18837.1,88444
8/13/2024,18724.84,19006.43,19013.01,18723.74,97672
8/12/2024,18548.23,18542.03,18665.75,18433.61,83178
8/9/2024,18373.89,18513.1,18567.63,18313.78,82314
8/8/2024,18102.05,18413.82,18445.41,17965.07,104421
8/7/2024,18345.45,17867.37,18445.75,17851.08,114178
8/6/2024,17961.45,18077.92,18368.68,17858.82,112997
8/5/2024,17444.4,17895.16,18169.49,17435.39,153239
8/2/2024,18494.24,18440.85,18628.78,18263.5,157545
8/1/2024,19375.97,18890.39,19538.97,18737.09,130638
7/31/2024,19222.85,19362.43,19426.62,19162.91,115538
7/30/2024,19129.56,18796.27,19165.42,18667.22,114105
7/29/2024,19122.43,19059.49,19224.59,18974.51,82436
7/26/2024,18990.2,19023.66,19142.68,18899.31,92312
7/25/2024,19041.15,18830.59,19227.2,18721.71,124771
7/24/2024,19475.66,19032.39,19482.55,19005.47,111385
7/23/2024,19783.33,19754.34,19904.6,19736.22,72900
7/22/2024,19751.02,19822.87,19861.72,19638.37,85514
7/19/2024,19687.8,19522.62,19784.48,19479.38,88792
7/18/2024,19936.24,19705.09,19947.98,19575.79,111591
7/17/2024,20041.31,19799.14,20080.27,19793.75,125475
7/16/2024,20441.53,20398.62,20477,20266.51,84328
7/15/2024,20401.02,20386.88,20585.17,20304.53,87285
7/12/2024,20226.23,20331.49,20526.09,20217.99,95490
7/11/2024,20661.41,20211.36,20672.1,20165,115610
7/10/2024,20533.27,20675.38,20690.97,20479.94,91293
7/9/2024,20504.17,20453.02,20543.9,20395.57,97761
7/8/2024,20393.89,20439.54,20455.38,20363.37,94042
7/5/2024,20224.13,20391.97,20407,20201.5,90271
7/3/2024,19995.28,20186.63,20186.63,19995.28,74224
7/2/2024,19746.22,20011.89,20014.92,19741.81,91225
7/1/2024,19720.11,19812.22,19827.75,19577.54,96574
6/28/2024,19817.01,19682.87,20017.72,19665.85,103885
6/27/2024,19740.52,19789.03,19850.81,19701.34,98522
6/26/2024,19671.07,19751.05,19763.55,19654.18,110440
6/25/2024,19555.84,19701.13,19712.42,19523.51,87824
