symbol,date,open,close,high,low,volume
NDX-X,9/26/2024,20273.3,20116.48,20273.3,19966.99,1
NDX-X,9/25/2024,19922.28,19972.61,20043.43,19921.22,83318
NDX-X,9/24/2024,19917.56,19944.84,19984.47,19739.67,89451
NDX-X,9/23/2024,19848.71,19852.2,19892.78,19797.82,80504
NDX-X,9/20/2024,19816.29,19791.49,19845.7,19632.73,114619
NDX-X,9/19/2024,19798.71,19839.83,19951.79,19723.94,94702
NDX-X,9/18/2024,19478.51,19344.49,19643.51,19330.81,89530
NDX-X,9/17/2024,19539.75,19432.4,19596.34,19337.12,83609
NDX-X,9/16/2024,19412.79,19423.06,19446.07,19294.18,78522
NDX-X,9/13/2024,19396.1,19514.59,19556.8,19384.69,74568
NDX-X,9/12/2024,19236.42,19423.07,19456.41,19166.8,96238
NDX-X,9/11/2024,18866,19237.3,19266.39,18531.58,103519
NDX-X,9/10/2024,18722.15,18829.14,18845.74,18570.67,1
NDX-X,9/9/2024,18579.8,18660.78,18693.86,18469.4,82858
NDX-X,9/6/2024,18903.03,18421.31,18930.77,18400.97,105606
NDX-X,9/5/2024,18864.42,18930.33,19102.36,18806.83,86339
NDX-X,9/4/2024,18832.64,18921.4,19070.82,18808.76,95659
NDX-X,9/3/2024,19438.11,18958.74,19438.11,18869.8,110078
NDX-X,8/30/2024,19506.27,19574.64,19582.17,19326.62,89311
NDX-X,8/29/2024,19425.28,19325.45,19622.73,19281.65,95565
NDX-X,8/28/2024,19567.45,19350.78,19587.04,19221.48,88153
NDX-X,8/27/2024,19450.57,19581.52,19617.92,19369.53,74704
NDX-X,8/26/2024,19679.24,19516.44,19726.9,19437.34,85164
NDX-X,8/23/2024,19669.78,19720.87,19818.4,19526.63,82468
NDX-X,8/22/2024,19911.28,19491.84,19938.89,19459.86,87164
NDX-X,8/21/2024,19758.47,19824.84,19885.34,19690.64,71974
NDX-X,8/20/2024,19736.35,19719.82,19835.38,19652.18,83671
NDX-X,8/19/2024,19521.93,19766.49,19767.43,19445.1,80131
NDX-X,8/16/2024,19393.73,19508.52,19561.24,19376.72,82038
NDX-X,8/15/2024,19251.86,19490.15,19502.92,19239.94,97524
NDX-X,8/14/2024,19043.76,19022.68,19103,18837.1,88444
NDX-X,8/13/2024,18724.84,19006.43,19013.01,18723.74,97672
NDX-X,8/12/2024,18548.23,18542.03,18665.75,18433.61,83178
NDX-X,8/9/2024,18373.89,18513.1,18567.63,18313.78,82314
NDX-X,8/8/2024,18102.05,18413.82,18445.41,17965.07,104421
NDX-X,8/7/2024,18345.45,17867.37,18445.75,17851.08,114178
NDX-X,8/6/2024,17961.45,18077.92,18368.68,17858.82,112997
NDX-X,8/5/2024,17444.4,17895.16,18169.49,17435.39,153239
