symbol,date,open,close,high,low,volume
SP-500,9/26/2024,5762.22,5745.47,5767.37,5721.01,1
SP-500,9/25/2024,5733.65,5722.26,5741.03,5712.06,178562
SP-500,9/24/2024,5727.66,5732.93,5735.32,5698.99,182050
SP-500,9/23/2024,5711.9,5718.57,5725.36,5704.22,167785
SP-500,9/20/2024,5709.64,5702.55,5715.14,5674.49,248770
SP-500,9/19/2024,5702.63,5713.64,5733.57,5686.42,211429
SP-500,9/18/2024,5641.68,5618.26,5689.75,5615.08,193744
SP-500,9/17/2024,5655.51,5634.58,5670.81,5614.05,186167
SP-500,9/16/2024,5615.21,5633.09,5636.05,5604.53,179901
SP-500,9/13/2024,5603.34,5626.02,5636.27,5601.65,174349
SP-500,9/12/2024,5557.48,5595.76,5600.71,5535.5,200961
SP-500,9/11/2024,5496.42,5554.13,5560.41,5406.96,217160
SP-500,9/10/2024,5490.51,5495.52,5497.91,5441.72,202556
SP-500,9/9/2024,5442.07,5471.05,5484.2,5434.49,193392
SP-500,9/6/2024,5507.33,5408.42,5522.47,5402.62,212749
SP-500,9/5/2024,5520.08,5503.41,5546.3,5480.54,190780
SP-500,9/4/2024,5506.68,5520.07,5552.99,5503.66,196180
SP-500,9/3/2024,5623.89,5528.93,5623.89,5504.33,223891
SP-500,8/30/2024,5612.74,5648.4,5651.37,5581.79,171828
SP-500,8/29/2024,5607.3,5591.96,5646.95,5583.71,183941
SP-500,8/28/2024,5624.51,5592.18,5627.03,5560.95,164193
SP-500,8/27/2024,5602.89,5625.8,5631.18,5593.48,151129
SP-500,8/26/2024,5639.66,5616.84,5651.62,5602.34,155412
SP-500,8/23/2024,5602.49,5634.61,5641.82,5585.16,167434
SP-500,8/22/2024,5637.77,5570.64,5643.22,5560.95,168974
SP-500,8/21/2024,5603.09,5620.85,5632.68,5591.57,154942
SP-500,8/20/2024,5602.88,5597.12,5620.51,5585.5,163237
SP-500,8/19/2024,5557.23,5608.25,5608.3,5550.74,158943
SP-500,8/16/2024,5530.5,5554.25,5561.98,5525.17,168311
SP-500,8/15/2024,5501.13,5543.22,5546.23,5501.13,204864
SP-500,8/14/2024,5442.36,5455.21,5463.22,5415.91,182043
SP-500,8/13/2024,5376.98,5434.43,5436.5,5376.98,202188
SP-500,8/12/2024,5351.88,5344.39,5371.2,5324.37,175322
SP-500,8/9/2024,5314.66,5344.16,5358.67,5300.84,170582
SP-500,8/8/2024,5252.57,5319.31,5328.03,5233.85,211299
SP-500,8/7/2024,5293.13,5199.5,5330.64,5195.54,233333
SP-500,8/6/2024,5206.42,5240.03,5312.34,5193.56,245198
SP-500,8/5/2024,5151.14,5186.33,5250.89,5119.26,321849
SP-500,8/2/2024,5376.63,5346.56,5383.89,5302.03,322340
SP-500,8/1/2024,5537.84,5446.68,5566.16,5410.42,274137
SP-500,7/31/2024,5505.59,5522.3,5551.51,5493.75,247515
